identifier,labels,text,es-CO,de,context
matrix-reasoning-instruct1,matrix-reasoning,"We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!",Vamos a mostrarte un rompecabezas. Tu tarea es elegir la mejor pieza para completarlo. ¡Empecemos!,"Wir zeigen dir ein Puzzle, und deine Aufgabe ist es, das beste Teil zu finden, um das Puzzle zu vervollständigen. Los geht's!","matrix-reasoning-instruct1

Sheet: translation-items-v1"
matrix-reasoning-instruct2,matrix-reasoning,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,¿Ves este gran rompecabezas? Le falta una pieza. ¿Cuál pieza va en el rompecabezas?,Siehst du dieses große Puzzle? Es fehlt ein Teil! Welches Teil gehört in das Puzzle?,"matrix-reasoning-instruct2

Sheet: translation-items-v1"
mental-rotation-instruct1,mental-rotation,Do you see these two shadows? One goes with this shape. Let’s see which one goes with the shape.,¿Ves estas dos sombras? Una va con esta figura. Veamos cuál va con la figura.,"Siehst du diese beiden Schatten? Einer passt zu dieser Form. Lass uns sehen, welcher zu dieser Form passt.","mental-rotation-instruct1

Sheet: translation-items-v1"
mental-rotation-training-instruct2,mental-rotation,Let's see if this shape goes with the shadow. This shape doesn’t go with the shadow.,Veamos si esta figura va con la sombra. Esta figura no va con la sombra.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt nicht zum Schatten.","mental-rotation-training-instruct2

Sheet: translation-items-v1"
mental-rotation-training-instruct3,mental-rotation,Let's see if this shape goes with the shadow. This shape does go with the shadow.,Veamos si esta figura va con la sombra. Esta figura sí va con la sombra.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt zu dem Schatten.","mental-rotation-training-instruct3

Sheet: translation-items-v1"
mental-rotation-test-instruct4,mental-rotation,Now you try! Can you find the shape that goes with the shadow?,"¡Ahora, inténtalo tú! ¿Puedes encontrar la figura que va con la sombra?","Jetzt versuch du es! Kannst du die Form finden, die zum Schatten passt?","mental-rotation-test-instruct4

Sheet: translation-items-v1"
feedback-try-again,general,Please try again!,¡Inténtalo de nuevo!,Versuch es noch einmal!,"feedback-try-again

Sheet: translation-items-v1"
feedback-good-job,general,Good job!,¡Bien hecho!,Gut gemacht!,"feedback-good-job

Sheet: translation-items-v1"
feedback-nice-work,general,Nice work!,¡Muy bien!,Sehr gut!,"feedback-nice-work

Sheet: translation-items-v1"
general-intro1,general,Hello! Today we're going to solve some puzzles. Are you ready? Press the OK button!,"¡Hola! Hoy vamos a resolver algunos acertijos. Para comenzar, ¡toca la tecla OK!",Hallo! Heute werden wir einige Rätsel lösen. Bist du bereit? Klick auf die OK-Taste!,"general-intro1

Sheet: translation-items-v1"
pick-buddy,general,Pick a buddy to play with!,¡Escoge un amigo para jugar!,Wähle einen Freund zum Mitspielen!,"pick-buddy

Sheet: translation-items-v1"
replay-button,general,Press the replay button if you want the question repeated.,Presiona el botón de repetición si deseas que se repita la pregunta.,"Klick auf die Wiederholungstaste, wenn die Frage wiederholt werden soll.","replay-button

Sheet: translation-items-v1"
general-fullscreen,general,Switch to full screen mode,Cambiar al modo de pantalla completa,Wechseln Sie in den Vollbildmodus,"general-fullscreen

Sheet: translation-items-v1"
general-exit,general,Exit,Salir,Exit,"general-exit

Sheet: translation-items-v1"
task-completion,general,You've finished this game. Thank you!,Has terminado este juego. ¡Gracias!,You've finished this game. Thank you!,"task-completion

Sheet: translation-items-v1"
matrix-reasoning-prompt1,matrix-reasoning,Choose the best pattern to fill in the blank.,Escoge el mejor patrón para llenar el espacio en blanco.,"Wähle das beste Muster, um die Lücke zu füllen.","matrix-reasoning-prompt1

Sheet: translation-items-v1"
mental-rotation-prompt2,mental-rotation,Choose the picture that matches this one.,Escoge la imagen que coincida con esta.,"Wähle das Bild aus, das zu diesem Bild passt.","mental-rotation-prompt2

Sheet: translation-items-v1"
mental-rotation-prompt1,mental-rotation,Choose the matching picture.,Escoge la imagen que coincide.,Wähle das passende Bild aus.,"mental-rotation-prompt1

Sheet: translation-items-v1"
math-instructions1,math,We are going to play some counting games and some number games. Let's get started!,Vamos a practicar con juegos de contar y juegos de números. ¡Empecemos!,Wir werden einige Zählspiele und Zahlenspiele spielen. Bist du bereit?,"math-instructions1

Sheet: translation-items-v1"
number-comparison-prompt1,number-comparison,Which number is larger?,¿Cuál número es mayor?,Welche Zahl ist größer?,"number-comparison-prompt1

Sheet: translation-items-v1"
number-comparison-prompt2,number-comparison,Which is larger?,¿Cuál es mayor?,Welche ist größer?,"number-comparison-prompt2
Do you refer to the number? In German the relative pronoun changes depending on the noun.
RESPONSE: Yes, this is for numbers.
Sheet: translation-items-v1"
number-identification-prompt1,number-identification,Choose the number you hear.,Escoge el número cuando lo escuches.,"Wähle die Zahl, die du hörst.","number-identification-prompt1

Sheet: translation-items-v1"
missing-number-prompt1,missing-number,What number goes in the blank?,¿Cuál número va en el espacio en blanco?,Welche Zahl gehört in die Lücke?,"missing-number-prompt1

Sheet: translation-items-v1"
missing-number-prompt2,missing-number,What number goes here?,¿Cuál número va aquí?,Welche Zahl gehört hierher?,"missing-number-prompt2

Sheet: translation-items-v1"
addition-prompt1,addition,Add the numbers and choose the correct answer.,Suma los números y elige la respuesta correcta.,Addiere die Zahlen und wähle die richtige Antwort.,"addition-prompt1

Sheet: translation-items-v1"
addition-prompt2,addition,Add the numbers.,Suma los números.,Addiere die Zahlen. ,"addition-prompt2

Sheet: translation-items-v1"
subtraction-prompt1,subtraction,Subtract the numbers and choose the correct answer.,Resta los números y elige la respuesta correcta.,Ziehe die Zahlen ab und wähle die richtige Antwort.,"subtraction-prompt1

Sheet: translation-items-v1"
subtraction-prompt2,subtraction,Subtract the numbers.,Resta los números.,Ziehe die Zahlen ab. ,"subtraction-prompt2

Sheet: translation-items-v1"
multiplication-prompt1,multiplication,Multiply the numbers and choose the correct answer.,Multiplica los números y elige la respuesta correcta.,Multipliziere die Zahlen und wähle die richtige Antwort.,"multiplication-prompt1

Sheet: translation-items-v1"
multiplication-prompt2,multiplication,Multiply the numbers.,Multiplica los números.,Multipliziere die Zahlen. ,"multiplication-prompt2

Sheet: translation-items-v1"
number-line-prompt1,number-line-4AFC,Choose the number that is marked on the number line.,Elige el número que está marcado en la línea recta de números.,"Wähle die Zahl, die auf der Zahlenreihe markiert ist.","number-line-prompt1

Sheet: translation-items-v1"
number-line-slider-prompt1,number-line-slider,Move the slider to the indicated number.,Mueve la regla hasta el número indicado.,Bewege den Schieberegler auf die angegebene Zahl.,"number-line-slider-prompt1

Sheet: translation-items-v1"
number-identification-1,number-identification,Choose the number 1.,Elige el número 1.,Wähle die Zahl 1.,"number-identification-1

Sheet: translation-items-v1"
number-identification-2,number-identification,Choose the 2.,Elige el 2.,Wähle die 2.,"number-identification-2

Sheet: translation-items-v1"
number-identification-3,number-identification,Choose the 9.,Elige el 9.,Wähle die 9.,"number-identification-3

Sheet: translation-items-v1"
number-identification-4,number-identification,Choose the 0.,Elige el 0.,Wähle die 0.,"number-identification-4

Sheet: translation-items-v1"
number-identification-5,number-identification,Choose the 12.,Elige el 12.,Wähle die 12.,"number-identification-5

Sheet: translation-items-v1"
number-identification-6,number-identification,Choose the 30.,Elige el 30.,Wähle die 30.,"number-identification-6

Sheet: translation-items-v1"
number-identification-7,number-identification,Choose the 22.,Elige el 22.,Wähle die 22.,"number-identification-7

Sheet: translation-items-v1"
number-identification-8,number-identification,Choose the 45.,Elige el 45.,Wähle die 45.,"number-identification-8

Sheet: translation-items-v1"
number-identification-9,number-identification,Choose the 39.,Elige el 39.,Wähle die 39.,"number-identification-9

Sheet: translation-items-v1"
number-identification-10,number-identification,Choose the 23.,Elige el 23.,Wähle die 23.,"number-identification-10

Sheet: translation-items-v1"
number-identification-11,number-identification,Choose the 48.,Elige el 48.,Wähle die 48.,"number-identification-11

Sheet: translation-items-v1"
number-identification-12,number-identification,Choose the 91.,Elige el 91.,Wähle die 91.,"number-identification-12

Sheet: translation-items-v1"
number-identification-13,number-identification,Choose the 33.,Elige el 33.,Wähle die 33.,"number-identification-13

Sheet: translation-items-v1"
number-identification-14,number-identification,Choose the 74.,Elige el 74.,Wähle die 74.,"number-identification-14

Sheet: translation-items-v1"
number-identification-15,number-identification,Choose the 87.,Elige el 87.,Wähle die 87.,"number-identification-15

Sheet: translation-items-v1"
number-identification-16,number-identification,Choose the 65.,Elige el 65.,Wähle die 65.,"number-identification-16

Sheet: translation-items-v1"
number-identification-17,number-identification,Choose the 108.,Elige el 108.,Wähle die 108.,"number-identification-17

Sheet: translation-items-v1"
number-identification-18,number-identification,Choose the 245.,Elige el 245.,Wähle die 245.,"number-identification-18

Sheet: translation-items-v1"
number-identification-19,number-identification,Choose the 587.,Elige el 587.,Wähle die 587.,"number-identification-19

Sheet: translation-items-v1"
number-identification-20,number-identification,Choose the 731.,Elige el 731.,Wähle die 731.,"number-identification-20

Sheet: translation-items-v1"
number-identification-21,number-identification,Choose the 989.,Elige el 989. ,Wähle die 989.,"number-identification-21

Sheet: translation-items-v1"
trog-instruct1,trog,"Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Ahora, ¡vamos a hacer un juego de asociación! Yo diré palabras y tú tocarás la imagen que va con las palabras que yo diga. ¡Empecemos!","Jetzt werden wir ein Zuordnungsspiel spielen! Ich sage ein paar Worte, und du berührst das Bild, das zu dem passt, was ich sage. Bist du bereit?","trog-instruct1

Sheet: translation-items-v1"
trog-prompt1,trog,Choose the picture of the...,Elige la imagen del...,Berühre das Bild mit dem/der/den...,"trog-prompt1
These are general prompts and I understand the tricky part (same for Spanish). These introduce the items labeled ""trog"" below. The examples are in the link I put in my comment below (line 59).
Sheet: translation-items-v1"
trog-prompt2,trog,Choose the picture of...,Elige la imagen de...,Berühre das Bild mit...,"trog-prompt2

Sheet: translation-items-v1"
trog-prompt3,trog,Choose the picture that shows...,Elige la imagen que muestra...,Berühre das Bild was folgendes zeigt:,"trog-prompt3
This is the right translation. 
Sheet: translation-items-v1"
