,item_id,labels,en,es-CO,de,context,translation_time
0,matrix-reasoning-instruct1,matrix-reasoning,"We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!",Vamos a mostrarte un rompecabezas. Tu tarea es elegir la mejor pieza para completarlo. ¡Empecemos!,"Wir zeigen dir ein Puzzle, und deine Aufgabe ist es, das beste Teil zu finden, um das Puzzle zu vervollständigen. Los geht's!","matrix-reasoning-instruct1

Sheet: translation-items-v1",
1,matrix-reasoning-instruct2,matrix-reasoning,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,¿Ves este gran rompecabezas? Le falta una pieza. ¿Cuál pieza va en el rompecabezas?,Siehst du dieses große Puzzle? Es fehlt ein Teil! Welches Teil gehört in das Puzzle?,"matrix-reasoning-instruct2

Sheet: translation-items-v1",
2,mental-rotation-instruct1,mental-rotation,Do you see these two shadows? One goes with this shape. Let’s see which one goes with the shape.,¿Ves estas dos sombras? Una va con esta figura. Veamos cuál va con la figura.,"Siehst du diese beiden Schatten? Einer passt zu dieser Form. Lass uns sehen, welcher zu dieser Form passt.","mental-rotation-instruct1

Sheet: translation-items-v1",
3,mental-rotation-training-instruct2,mental-rotation,Let's see if this shape goes with the shadow. This shape doesn’t go with the shadow.,Veamos si esta figura va con la sombra. Esta figura no va con la sombra.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt nicht zum Schatten.","mental-rotation-training-instruct2

Sheet: translation-items-v1",
4,mental-rotation-training-instruct3,mental-rotation,Let's see if this shape goes with the shadow. This shape does go with the shadow.,Veamos si esta figura va con la sombra. Esta figura sí va con la sombra.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt zu dem Schatten.","mental-rotation-training-instruct3

Sheet: translation-items-v1",
5,mental-rotation-test-instruct4,mental-rotation,Now you try! Can you find the shape that goes with the shadow?,"¡Ahora, inténtalo tú! ¿Puedes encontrar la figura que va con la sombra?","Jetzt versuch du es! Kannst du die Form finden, die zum Schatten passt?","mental-rotation-test-instruct4

Sheet: translation-items-v1",
6,feedback-try-again,general,Please try again!,¡Inténtalo de nuevo!,Versuch es noch einmal!,"feedback-try-again

Sheet: translation-items-v1",
7,feedback-good-job,general,Good job!,¡Bien hecho!,Gut gemacht!,"feedback-good-job

Sheet: translation-items-v1",
8,feedback-nice-work,general,Nice work!,¡Muy bien!,Sehr gut!,"feedback-nice-work

Sheet: translation-items-v1",
9,general-intro1,general,Hello! Today we're going to solve some puzzles. Are you ready? Press the OK button!,"¡Hola! Hoy vamos a resolver algunos acertijos. Para comenzar, ¡toca la tecla OK!",Hallo! Heute werden wir einige Rätsel lösen. Bist du bereit? Klick auf die OK-Taste!,"general-intro1

Sheet: translation-items-v1",
10,pick-buddy,general,Pick a buddy to play with!,¡Escoge un amigo para jugar!,Wähle einen Freund zum Mitspielen!,"pick-buddy

Sheet: translation-items-v1",
11,replay-button,general,Press the replay button if you want the question repeated.,Presiona el botón de repetición si deseas que se repita la pregunta.,"Klick auf die Wiederholungstaste, wenn die Frage wiederholt werden soll.","replay-button

Sheet: translation-items-v1",
12,general-fullscreen,general,Switch to full screen mode,Cambiar al modo de pantalla completa,Wechseln Sie in den Vollbildmodus,"general-fullscreen

Sheet: translation-items-v1",
13,general-exit,general,Exit,Salir,Exit,"general-exit

Sheet: translation-items-v1",
14,task-completion,general,You've finished this game. Thank you!,Has terminado este juego. ¡Gracias!,You've finished this game. Thank you!,"task-completion

Sheet: translation-items-v1",
15,matrix-reasoning-prompt1,matrix-reasoning,Choose the best pattern to fill in the blank.,Escoge el mejor patrón para llenar el espacio en blanco.,"Wähle das beste Muster, um die Lücke zu füllen.","matrix-reasoning-prompt1

Sheet: translation-items-v1",
16,mental-rotation-prompt2,mental-rotation,Choose the picture that matches this one.,Escoge la imagen que coincida con esta.,"Wähle das Bild aus, das zu diesem Bild passt.","mental-rotation-prompt2

Sheet: translation-items-v1",
17,mental-rotation-prompt1,mental-rotation,Choose the matching picture.,Escoge la imagen que coincide.,Wähle das passende Bild aus.,"mental-rotation-prompt1

Sheet: translation-items-v1",
18,math-instructions1,math,We are going to play some counting games and some number games. Let's get started!,Vamos a practicar con juegos de contar y juegos de números. ¡Empecemos!,Wir werden einige Zählspiele und Zahlenspiele spielen. Bist du bereit?,"math-instructions1

Sheet: translation-items-v1",
19,number-comparison-prompt1,number-comparison,Which number is larger?,¿Cuál número es mayor?,Welche Zahl ist größer?,"number-comparison-prompt1

Sheet: translation-items-v1",
20,number-comparison-prompt2,number-comparison,Which is larger?,¿Cuál es mayor?,Welche ist größer?,"number-comparison-prompt2
Do you refer to the number? In German the relative pronoun changes depending on the noun.
RESPONSE: Yes, this is for numbers.
Sheet: translation-items-v1",
21,number-identification-prompt1,number-identification,Choose the number you hear.,Escoge el número cuando lo escuches.,"Wähle die Zahl, die du hörst.","number-identification-prompt1

Sheet: translation-items-v1",
22,missing-number-prompt1,missing-number,What number goes in the blank?,¿Cuál número va en el espacio en blanco?,Welche Zahl gehört in die Lücke?,"missing-number-prompt1

Sheet: translation-items-v1",
23,missing-number-prompt2,missing-number,What number goes here?,¿Cuál número va aquí?,Welche Zahl gehört hierher?,"missing-number-prompt2

Sheet: translation-items-v1",
24,addition-prompt1,addition,Add the numbers and choose the correct answer.,Suma los números y elige la respuesta correcta.,Addiere die Zahlen und wähle die richtige Antwort.,"addition-prompt1

Sheet: translation-items-v1",
25,addition-prompt2,addition,Add the numbers.,Suma los números.,Addiere die Zahlen. ,"addition-prompt2

Sheet: translation-items-v1",
26,subtraction-prompt1,subtraction,Subtract the numbers and choose the correct answer.,Resta los números y elige la respuesta correcta.,Ziehe die Zahlen ab und wähle die richtige Antwort.,"subtraction-prompt1

Sheet: translation-items-v1",
