,item_id,labels,en,es-CO,de,context
3,mental-rotation-training-instruct2,mental-rotation,Let's see if this shape goes with the shadow. This shape doesn’t go with the shadow.,Veamos si esta figura va con la sombra. Esta figura no va con la sombra.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt nicht zum Schatten.","mental-rotation-training-instruct2
"
4,mental-rotation-training-instruct3,mental-rotation,Let's see if this shape goes with the shadow. This shape does go with the shadow.,Veamos si esta figura va con la sombra. Esta figura sí va con la sombra.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt zu dem Schatten.","mental-rotation-training-instruct3
"
5,mental-rotation-test-instruct4,mental-rotation,Now you try! Can you find the shape that goes with the shadow?,"¡Ahora, inténtalo tú! ¿Puedes encontrar la figura que va con la sombra?","Jetzt versuch du es! Kannst du die Form finden, die zum Schatten passt?","mental-rotation-test-instruct4
"
9,general-intro1,general,Hello! Today we're going to solve some puzzles. Are you ready? Press the OK button!,"¡Hola! Hoy vamos a resolver algunos acertijos. Para comenzar, ¡toca la tecla OK!",Hallo! Heute werden wir einige Rätsel lösen. Bist du bereit? Klick auf die OK-Taste!,"general-intro1
"
11,replay-button,general,Press the replay button if you want the question repeated.,Presiona el botón de repetición si deseas que se repita la pregunta.,"Klick auf die Wiederholungstaste, wenn die Frage wiederholt werden soll.","replay-button
"
18,math-instructions1,math,We are going to play some counting games and some number games. Let's get started!,Vamos a practicar con juegos de contar y juegos de números. ¡Empecemos!,Wir werden einige Zählspiele und Zahlenspiele spielen. Bist du bereit?,"math-instructions1
"
24,addition-prompt1,addition,Add the numbers and choose the correct answer.,Suma los números y elige la respuesta correcta.,Addiere die Zahlen und wähle die richtige Antwort.,"addition-prompt1
"
26,subtraction-prompt1,subtraction,Subtract the numbers and choose the correct answer.,Resta los números y elige la respuesta correcta.,Ziehe die Zahlen ab und wähle die richtige Antwort.,"subtraction-prompt1
"
28,multiplication-prompt1,multiplication,Multiply the numbers and choose the correct answer.,Multiplica los números y elige la respuesta correcta.,Multipliziere die Zahlen und wähle die richtige Antwort.,"multiplication-prompt1
"
30,number-line-prompt1,number-line-4AFC,Choose the number that is marked on the number line.,Elige el número que está marcado en la línea recta de números.,"Wähle die Zahl, die auf der Zahlenreihe markiert ist.","number-line-prompt1
"
