,item_id,labels,en,es-CO,de,context
0,matrix-reasoning-instruct1,matrix-reasoning,,Vamos a mostrarte un rompecabezas. Tu tarea es elegir la mejor pieza para completarlo. ¡Empecemos!,,"matrix-reasoning-instruct1
"
1,matrix-reasoning-instruct2,matrix-reasoning,,¿Ves este gran rompecabezas? Le falta una pieza. ¿Cuál pieza va en el rompecabezas?,,"matrix-reasoning-instruct2
"
2,mental-rotation-instruct1,mental-rotation,,¿Ves estas dos sombras? Una va con esta figura. Veamos cuál va con la figura.,,"mental-rotation-instruct1
"
3,mental-rotation-training-instruct2,mental-rotation,,Veamos si esta figura va con la sombra. Esta figura no va con la sombra.,,"mental-rotation-training-instruct2
"
4,mental-rotation-training-instruct3,mental-rotation,,Veamos si esta figura va con la sombra. Esta figura sí va con la sombra.,,"mental-rotation-training-instruct3
"
5,mental-rotation-test-instruct4,mental-rotation,,"¡Ahora, inténtalo tú! ¿Puedes encontrar la figura que va con la sombra?",,"mental-rotation-test-instruct4
"
6,feedback-try-again,general,,¡Inténtalo de nuevo!,,"feedback-try-again
"
7,feedback-good-job,general,,¡Bien hecho!,,"feedback-good-job
"
8,feedback-nice-work,general,,¡Muy bien!,,"feedback-nice-work
"
9,general-intro1,general,,"¡Hola! Hoy vamos a resolver algunos acertijos. Para comenzar, ¡toca la tecla OK!",,"general-intro1
"
10,pick-buddy,general,,¡Escoge un amigo para jugar!,,"pick-buddy
"
11,replay-button,general,,Presiona el botón de repetición si deseas que se repita la pregunta.,,"replay-button
"
12,general-fullscreen,general,,Cambiar al modo de pantalla completa,,"general-fullscreen
"
13,general-exit,general,,Salir,,"general-exit
"
14,task-completion,general,,Has terminado este juego. ¡Gracias!,,"task-completion
"
15,matrix-reasoning-prompt1,matrix-reasoning,,Escoge el mejor patrón para llenar el espacio en blanco.,,"matrix-reasoning-prompt1
"
16,mental-rotation-prompt2,mental-rotation,,Escoge la imagen que coincida con esta.,,"mental-rotation-prompt2
"
17,mental-rotation-prompt1,mental-rotation,,Escoge la imagen que coincide.,,"mental-rotation-prompt1
"
18,math-instructions1,math,,Vamos a practicar con juegos de contar y juegos de números. ¡Empecemos!,,"math-instructions1
"
19,number-comparison-prompt1,number-comparison,,¿Cuál número es mayor?,,"number-comparison-prompt1
"
20,number-comparison-prompt2,number-comparison,,¿Cuál es mayor?,,"number-comparison-prompt2
Do you refer to the number? In German the relative pronoun changes depending on the noun.
RESPONSE: Yes, this is for numbers."
21,number-identification-prompt1,number-identification,,Escoge el número cuando lo escuches.,,"number-identification-prompt1
"
22,missing-number-prompt1,missing-number,,¿Cuál número va en el espacio en blanco?,,"missing-number-prompt1
"
23,missing-number-prompt2,missing-number,,¿Cuál número va aquí?,,"missing-number-prompt2
"
24,addition-prompt1,addition,,Suma los números y elige la respuesta correcta.,,"addition-prompt1
"
25,addition-prompt2,addition,,Suma los números.,,"addition-prompt2
"
26,subtraction-prompt1,subtraction,,Resta los números y elige la respuesta correcta.,,"subtraction-prompt1
"
27,subtraction-prompt2,subtraction,,Resta los números.,,"subtraction-prompt2
"
28,multiplication-prompt1,multiplication,,Multiplica los números y elige la respuesta correcta.,,"multiplication-prompt1
"
29,multiplication-prompt2,multiplication,,Multiplica los números.,,"multiplication-prompt2
"
30,number-line-prompt1,number-line-4AFC,,Elige el número que está marcado en la línea recta de números.,,"number-line-prompt1
"
31,number-line-slider-prompt1,number-line-slider,,Mueve la regla hasta el número indicado.,,"number-line-slider-prompt1
"
32,number-identification-1,number-identification,,Elige el número 1.,,"number-identification-1
"
33,number-identification-2,number-identification,,Elige el 2.,,"number-identification-2
"
34,number-identification-3,number-identification,,Elige el 9.,,"number-identification-3
"
35,number-identification-4,number-identification,,Elige el 0.,,"number-identification-4
"
36,number-identification-5,number-identification,,Elige el 12.,,"number-identification-5
"
37,number-identification-6,number-identification,,Elige el 30.,,"number-identification-6
"
38,number-identification-7,number-identification,,Elige el 22.,,"number-identification-7
"
39,number-identification-8,number-identification,,Elige el 45.,,"number-identification-8
"
40,number-identification-9,number-identification,,Elige el 39.,,"number-identification-9
"
41,number-identification-10,number-identification,,Elige el 23.,,"number-identification-10
"
42,number-identification-11,number-identification,,Elige el 48.,,"number-identification-11
"
43,number-identification-12,number-identification,,Elige el 91.,,"number-identification-12
"
44,number-identification-13,number-identification,,Elige el 33.,,"number-identification-13
"
45,number-identification-14,number-identification,,Elige el 74.,,"number-identification-14
"
46,number-identification-15,number-identification,,Elige el 87.,,"number-identification-15
"
47,number-identification-16,number-identification,,Elige el 65.,,"number-identification-16
"
48,number-identification-17,number-identification,,Elige el 108.,,"number-identification-17
"
49,number-identification-18,number-identification,,Elige el 245.,,"number-identification-18
"
50,number-identification-19,number-identification,,Elige el 587.,,"number-identification-19
"
51,number-identification-20,number-identification,,Elige el 731.,,"number-identification-20
"
52,number-identification-21,number-identification,,Elige el 989. ,,"number-identification-21
"
53,trog-instruct1,trog,,"Ahora, ¡vamos a hacer un juego de asociación! Yo diré palabras y tú tocarás la imagen que va con las palabras que yo diga. ¡Empecemos!",,"trog-instruct1
"
54,trog-prompt1,trog,,Elige la imagen del...,,"trog-prompt1
These are general prompts and I understand the tricky part (same for Spanish). These introduce the items labeled ""trog"" below. The examples are in the link I put in my comment below (line 59)."
55,trog-prompt2,trog,,Elige la imagen de...,,"trog-prompt2
"
56,trog-prompt3,trog,,Elige la imagen que muestra...,,"trog-prompt3
This is the right translation. "
57,same-different-selection-prompt1,same-different-selection,,Aquí hay otra figura. ¿Cuál de las anteriores tiene algo en común con esta nueva figura?,,"same-different-selection-prompt1
"
58,same-different-selection-prompt2,same-different-selection,,Escoge dos imágenes que tengan algo en común.,,"same-different-selection-prompt2
"
59,same-different-selection-prompt3,same-different-selection,,"Escoge dos imágenes que tengan algo en común, pero con diferente forma.",,"same-different-selection-prompt3
For example: the boy is standing on a chair (when there is another picture with a boy standing on two chairs too). So, in this case in German it would be that the picture is the same but showing some differences. 
RESPONSE: Ah, so these instructions are for a different task (not TROG).
This is the description of the task in this line: This task measures set shifting. Children are shown two pictures that are similar along one dimension (content, color, or size) and verbal told the dimension of similarity. Next, children see the same two pictures plus a new third picture. The third picture is similar to one of the first two pictures along a dimension that is different from that of the first two pictures (e.g., if the first two pictures were similar along the dimension of shape, the third picture would be similar to one of the first two pictures along the dimension of color or size). Children are asked to choose which of the two original pictures is the same as the new third picture. https://hs-levante-assessment-dev.web.app/?task=same-different-selection  - Ok, then this is also the right translation I chose. 
"
60,shared-intro-devices,trog,,"You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.",,"shared-intro-devices
"
61,shared-choose-picture-press-arrow,trog,,"To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.",,"shared-choose-picture-press-arrow
"
62,shared-intro-replay,trog,,You can press the replay button to hear things again. Try it now.,,"shared-intro-replay
"
63,trog-instr1-matching,trog,,"This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.",,"trog-instr1-matching
"
64,trog-item-1,trog,,Elige la imagen del zapato.,,"trog-item-1
"
65,trog-item-2,trog,,Elige la imagen del pájaro.,,"trog-item-2
"
66,trog-item-3,trog,,Elige la imagen del peine.,,"trog-item-3
"
67,trog-item-4,trog,,Elige la imagen de la manzana.,,"trog-item-4
"
68,trog-item-5,trog,,Elige la imagen que muestra comiendo.,,"trog-item-5
"
69,trog-item-6,trog,,,,"trog-item-6
"
70,trog-item-7,trog,,,,"trog-item-7
"
71,trog-item-8,trog,,,,"trog-item-8
"
72,trog-item-9,trog,,,,"trog-item-9
"
73,trog-item-10,trog,,,,"trog-item-10
"
74,trog-item-11,trog,,,,"trog-item-11
"
75,trog-item-12,trog,,,,"trog-item-12
"
76,trog-item-13,trog,,,,"trog-item-13
"
77,trog-item-14,trog,,,,"trog-item-14
"
78,trog-item-15,trog,,,,"trog-item-15
"
79,trog-item-16,trog,,,,"trog-item-16
"
80,trog-item-17,trog,,,,"trog-item-17
"
81,trog-item-18,trog,,,,"trog-item-18
"
82,trog-item-19,trog,,,,"trog-item-19
"
83,trog-item-20,trog,,,,"trog-item-20
"
84,trog-item-21,trog,,,,"trog-item-21
"
85,trog-item-22,trog,,,,"trog-item-22
"
86,trog-item-23,trog,,,,"trog-item-23
"
